"country","Cancellation Rate (%)"
"BEN","100.00"
"KHM","100.00"
"JEY","100.00"
"GLP","100.00"
"MYT","100.00"
"NIC","100.00"
"GGY","100.00"
"FJI","100.00"
"VGB","100.00"
"IMN","100.00"
"UMI","100.00"
"HND","100.00"
"MAC","93.75"
"HKG","89.66"
"TJK","88.89"
"ARE","84.31"
"FRO","80.00"
"BHR","80.00"
"MDV","75.00"
"BGD","75.00"
"QAT","73.33"
"SEN","72.73"
"AND","71.43"
"SAU","68.75"
"IDN","68.57"
"GEO","68.18"
"PAK","64.29"
"PHL","62.50"
"NGA","61.76"
"GIB","61.11"
"TZA","60.00"
"DOM","57.14"
"PRT","56.64"
"AGO","56.63"
"AZE","52.94"
"ZWE","50.00"
"CPV","50.00"
"UZB","50.00"
"ZMB","50.00"
"GHA","50.00"
"SYC","50.00"
"GAB","50.00"
"TUN","48.72"
"CHN","46.25"
"VEN","46.15"
"MAR","42.08"
"KOR","41.35"
"TUR","41.13"
"SGP","41.03"
"MNE","40.00"
"ZAF","38.75"
"LUX","37.98"
"RUS","37.82"
"KWT","37.50"
"BRA","37.32"
"SVK","36.92"
"ITA","35.40"
"BLR","34.62"
"EGY","34.38"
"HUN","33.48"
"TMP","33.33"
"KEN","33.33"
"CIV","33.33"
"LIE","33.33"
"ETH","33.33"
"COL","32.39"
"THA","30.51"
"NOR","29.82"
"ECU","29.63"
"UKR","29.41"
"LBN","29.03"
"MOZ","28.36"
"URY","28.13"
"MLT","27.78"
"IRN","27.71"
"TWN","27.45"
"GRC","27.34"
"ROU","26.80"
"KAZ","26.32"
"SVN","26.32"
"ESP","25.41"
"ISR","25.26"
"ARG","25.23"
"AUS","25.12"
"DNK","25.06"
"VNM","25.00"
"MCO","25.00"
"HRV","25.00"
"ARM","25.00"
"CHE","24.74"
"IRL","24.65"
"CHL","24.62"
"USA","23.89"
"POL","23.39"
"BIH","23.08"
"IND","23.03"
"OMN","22.22"
"SWE","22.17"
"EST","21.69"
"CZE","21.64"
"CYP","21.57"
"PER","20.69"
"DZA","20.39"
"BEL","20.24"
"GBR","20.22"
"MKD","20.00"
"CN","19.86"
"FRA","18.57"
"NLD","18.39"
"AUT","18.21"
"DEU","16.71"
"ALB","16.67"
"PRI","16.67"
"LVA","16.36"
"BGR","16.00"
"FIN","15.44"
"MUS","14.29"
"JOR","14.29"
"JPN","14.21"
"NULL","13.73"
"MEX","11.76"
"GNB","11.11"
"MYS","10.71"
"LTU","8.64"
"NZL","8.11"
"ISL","7.02"
"CRI","5.26"
"SRB","2.97"
"PYF","0.00"
"SUR","0.00"
"BRB","0.00"
"UGA","0.00"
"JAM","0.00"
"SYR","0.00"
"LKA","0.00"
"BWA","0.00"
"DJI","0.00"
"SDN","0.00"
"RWA","0.00"
"MRT","0.00"
"PRY","0.00"
"KNA","0.00"
"NCL","0.00"
"MMR","0.00"
"KIR","0.00"
"TGO","0.00"
"CAF","0.00"
"CYM","0.00"
"CUB","0.00"
"LCA","0.00"
"COM","0.00"
"SMR","0.00"
"PLW","0.00"
"ASM","0.00"
"MDG","0.00"
"NAM","0.00"
"BHS","0.00"
"GTM","0.00"
"BFA","0.00"
"AIA","0.00"
"PAN","0.00"
"STP","0.00"
"GUY","0.00"
"CMR","0.00"
"BDI","0.00"
"NPL","0.00"
"MWI","0.00"
"IRQ","0.00"
"MLI","0.00"
"ATA","0.00"
"BOL","0.00"
"DMA","0.00"
"ABW","0.00"
"LBY","0.00"
"LAO","0.00"
"SLE","0.00"
"SLV","0.00"
"ATF","0.00"
