"Agent","Bookings Count","Percentage of Total"
"9","18697","24.87"
"NULL","12310","16.38"
"240","8438","11.23"
"7","3065","4.08"
"14","2988","3.98"
"250","2357","3.14"
"6","2265","3.01"
"1","1911","2.54"
"28","1556","2.07"
"241","1485","1.98"
"8","1087","1.45"
"40","955","1.27"
"314","764","1.02"
"3","565","0.75"
"242","520","0.69"
"37","513","0.68"
"83","507","0.67"
"243","486","0.65"
"85","444","0.59"
"171","435","0.58"
"27","405","0.54"
"21","369","0.49"
"22","337","0.45"
"298","330","0.44"
"229","302","0.40"
"30","295","0.39"
"96","293","0.39"
"11","290","0.39"
"19","281","0.37"
"15","281","0.37"
"12","274","0.36"
"26","270","0.36"
"177","266","0.35"
"138","248","0.33"
"196","244","0.32"
"273","228","0.30"
"16","227","0.30"
"115","213","0.28"
"251","199","0.26"
"10","196","0.26"
"134","183","0.24"
"42","182","0.24"
"5","181","0.24"
"315","181","0.24"
"20","181","0.24"
"152","177","0.24"
"156","169","0.22"
"168","169","0.22"
"195","155","0.21"
"143","155","0.21"
"175","147","0.20"
"86","141","0.19"
"29","137","0.18"
"38","136","0.18"
"2","128","0.17"
"17","126","0.17"
"56","119","0.16"
"330","117","0.16"
"95","116","0.15"
"34","115","0.15"
"146","113","0.15"
"147","113","0.15"
"220","103","0.14"
"132","99","0.13"
"52","99","0.13"
"464","97","0.13"
"94","96","0.13"
"36","95","0.13"
"191","95","0.13"
"89","94","0.13"
"119","93","0.12"
"142","92","0.12"
"69","87","0.12"
"410","86","0.11"
"39","82","0.11"
"159","80","0.11"
"208","78","0.10"
"234","77","0.10"
"253","72","0.10"
"185","69","0.09"
"98","63","0.08"
"75","63","0.08"
"339","62","0.08"
"44","60","0.08"
"154","57","0.08"
"13","57","0.08"
"91","55","0.07"
"157","53","0.07"
"308","52","0.07"
"67","51","0.07"
"104","48","0.06"
"248","48","0.06"
"68","46","0.06"
"436","45","0.06"
"390","45","0.06"
"35","44","0.06"
"127","43","0.06"
"181","43","0.06"
"385","43","0.06"
"99","42","0.06"
"155","42","0.06"
"468","41","0.05"
"184","41","0.05"
"201","41","0.05"
"118","41","0.05"
"87","41","0.05"
"79","40","0.05"
"58","40","0.05"
"467","39","0.05"
"66","36","0.05"
"82","35","0.05"
"527","35","0.05"
"121","34","0.05"
"313","34","0.05"
"71","33","0.04"
"306","33","0.04"
"479","32","0.04"
"77","31","0.04"
"394","31","0.04"
"434","31","0.04"
"261","30","0.04"
"375","30","0.04"
"183","30","0.04"
"493","30","0.04"
"281","29","0.04"
"63","29","0.04"
"387","29","0.04"
"368","28","0.04"
"350","28","0.04"
"151","27","0.04"
"45","27","0.04"
"334","27","0.04"
"173","26","0.03"
"47","24","0.03"
"502","24","0.03"
"205","23","0.03"
"23","23","0.03"
"256","22","0.03"
"531","22","0.03"
"187","22","0.03"
"24","22","0.03"
"254","22","0.03"
"359","21","0.03"
"336","21","0.03"
"128","21","0.03"
"249","20","0.03"
"74","20","0.03"
"57","19","0.03"
"174","19","0.03"
"305","19","0.03"
"153","19","0.03"
"455","19","0.03"
"103","19","0.03"
"88","19","0.03"
"364","19","0.03"
"296","18","0.02"
"133","18","0.02"
"223","18","0.02"
"149","18","0.02"
"440","18","0.02"
"423","18","0.02"
"474","17","0.02"
"290","16","0.02"
"4","16","0.02"
"327","16","0.02"
"459","16","0.02"
"360","15","0.02"
"193","15","0.02"
"411","15","0.02"
"112","15","0.02"
"262","14","0.02"
"215","14","0.02"
"332","14","0.02"
"288","14","0.02"
"348","14","0.02"
"32","14","0.02"
"354","14","0.02"
"111","14","0.02"
"129","13","0.02"
"425","13","0.02"
"126","12","0.02"
"50","12","0.02"
"393","11","0.01"
"219","11","0.01"
"245","11","0.01"
"105","10","0.01"
"484","10","0.01"
"378","9","0.01"
"526","9","0.01"
"328","9","0.01"
"78","8","0.01"
"475","8","0.01"
"31","8","0.01"
"509","8","0.01"
"110","8","0.01"
"418","8","0.01"
"344","8","0.01"
"324","8","0.01"
"192","7","0.01"
"495","7","0.01"
"163","7","0.01"
"481","7","0.01"
"139","7","0.01"
"441","7","0.01"
"307","7","0.01"
"92","7","0.01"
"141","6","0.01"
"325","6","0.01"
"363","6","0.01"
"275","6","0.01"
"508","6","0.01"
"210","6","0.01"
"72","6","0.01"
"33","6","0.01"
"270","5","0.01"
"81","5","0.01"
"310","5","0.01"
"150","5","0.01"
"180","4","0.01"
"335","4","0.01"
"53","4","0.01"
"371","4","0.01"
"430","4","0.01"
"295","4","0.01"
"326","4","0.01"
"148","4","0.01"
"429","4","0.01"
"405","4","0.01"
"370","3","0.00"
"167","3","0.00"
"244","3","0.00"
"321","3","0.00"
"258","3","0.00"
"426","3","0.00"
"535","3","0.00"
"302","3","0.00"
"25","3","0.00"
"252","3","0.00"
"427","3","0.00"
"391","2","0.00"
"106","2","0.00"
"269","2","0.00"
"384","2","0.00"
"461","2","0.00"
"510","2","0.00"
"414","2","0.00"
"182","2","0.00"
"355","2","0.00"
"449","2","0.00"
"227","2","0.00"
"438","2","0.00"
"476","2","0.00"
"282","2","0.00"
"454","2","0.00"
"341","2","0.00"
"211","2","0.00"
"303","2","0.00"
"420","2","0.00"
"122","2","0.00"
"232","2","0.00"
"61","2","0.00"
"283","2","0.00"
"469","2","0.00"
"214","2","0.00"
"404","2","0.00"
"135","2","0.00"
"304","1","0.00"
"444","1","0.00"
"73","1","0.00"
"165","1","0.00"
"337","1","0.00"
"278","1","0.00"
"299","1","0.00"
"432","1","0.00"
"431","1","0.00"
"54","1","0.00"
"397","1","0.00"
"416","1","0.00"
"333","1","0.00"
"70","1","0.00"
"352","1","0.00"
"197","1","0.00"
"446","1","0.00"
"114","1","0.00"
"213","1","0.00"
"265","1","0.00"
"64","1","0.00"
"301","1","0.00"
"158","1","0.00"
"59","1","0.00"
"285","1","0.00"
"358","1","0.00"
"450","1","0.00"
"300","1","0.00"
"367","1","0.00"
"289","1","0.00"
"388","1","0.00"
"179","1","0.00"
"451","1","0.00"
"280","1","0.00"
"331","1","0.00"
"346","1","0.00"
"406","1","0.00"
"453","1","0.00"
"408","1","0.00"
"294","1","0.00"
"433","1","0.00"
"267","1","0.00"
"216","1","0.00"
"117","1","0.00"
"480","1","0.00"
"144","1","0.00"
"247","1","0.00"
"90","1","0.00"
"497","1","0.00"
"403","0","0.00"
"60","0","0.00"
"286","0","0.00"
"93","0","0.00"
"291","0","0.00"
"55","0","0.00"
"483","0","0.00"
"287","0","0.00"
"492","0","0.00"
"472","0","0.00"
"257","0","0.00"
"162","0","0.00"
"276","0","0.00"
"323","0","0.00"
"107","0","0.00"
"236","0","0.00"
"41","0","0.00"
"170","0","0.00"
"235","0","0.00"
